id,elapsed_time_sec,elapsed_time_min,distance_m,distance_km,has_heartrate,average_heartrate,max_heartrate,has_cadence,avg_cadence_real,average_speed,total_elevation_gain
16865942163,599,9.983333333333333,784.6,0.7846000000000001,0,,,0,,1.673,3.5
16795933530,1984,33.06666666666667,5342.5,5.3425,0,,,0,,2.693,24.0
16714361181,2724,45.4,7080.0,7.08,1,143.0,153.0,1,163.2,2.599,0.0
16649137613,2354,39.233333333333334,6040.0,6.04,1,147.6,163.0,1,167.8,2.566,0.0
16631457818,2407,40.11666666666667,6010.0,6.01,1,137.8,151.0,1,164.2,2.497,0.0
16583560575,2220,37.0,6000.0,6.0,1,155.9,168.0,1,169.2,2.7030000000000003,0.0
16565882158,1936,32.266666666666666,5020.0,5.02,1,146.0,160.0,1,164.2,2.593,0.0
16516631270,3896,64.93333333333334,10000.0,10.0,1,144.2,157.0,1,161.0,2.567,0.0
16493239398,4100,68.33333333333333,10000.0,10.0,1,145.8,158.0,1,161.0,2.439,0.0
16427894286,4567,76.11666666666666,10180.0,10.18,1,139.0,153.0,1,164.0,2.229,0.0
16402273416,3755,62.583333333333336,10000.0,10.0,1,157.8,174.0,1,167.6,2.6630000000000003,0.0
16372498932,3795,63.25,10010.0,10.01,1,159.3,170.0,1,170.0,2.638,0.0
16356312613,1864,31.066666666666666,5070.0,5.07,0,,,1,171.2,2.7199999999999998,0.0
16296001340,2002,33.36666666666667,5010.0,5.01,0,,,1,163.4,2.502,0.0
16250536986,5112,85.2,14177.5,14.1775,0,,,0,,2.776,12.9
16210132478,3292,54.86666666666667,9090.4,9.090399999999999,0,,,0,,2.817,6.9
16134874137,1688,28.133333333333333,4945.4,4.945399999999999,0,,,0,,3.12,5.7
16061246761,2746,45.766666666666666,7337.5,7.3375,0,,,0,,2.7800000000000002,11.1
16020594681,3687,61.45,11557.2,11.5572,0,,,0,,3.135,12.6
